"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"remove_count_le_2","Remove count <=2","002FhRUSw_1",0,1,"S002","Forehead","Copan","Type 1"
"remove_count_le_2","Remove count <=2","002FhRUSw_2",3.86055669227494e-05,0.999961394433077,"S002","Forehead","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","003AcCUSw",0.000737402703809902,0.99926259729619,"S003","Antecubital","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","003AcLUSw_3",0,1,"S003","Antecubital","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","003AcLUSw_4",0.000118273211117674,0.999881726788882,"S003","Antecubital","Omni","Type 4"
"remove_count_le_2","Remove count <=2","003AcRUSw_1",0.000543921675278755,0.999456078324721,"S003","Antecubital","Copan","Type 1"
"remove_count_le_2","Remove count <=2","003AcRUSw_2",0.00026578073089701,0.999734219269103,"S003","Antecubital","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","003FhCUSw",0.000799872020476722,0.999200127979523,"S003","Forehead","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","003FhLUSw_3",0,1,"S003","Forehead","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","003FhLUSw_4",0,1,"S003","Forehead","Omni","Type 4"
"remove_count_le_2","Remove count <=2","003FhRUSw_1",0,1,"S003","Forehead","Copan","Type 1"
"remove_count_le_2","Remove count <=2","003FhRUSw_2",0,1,"S003","Forehead","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","004AcCUSw",0.00046918069321447,0.999530819306786,"S004","Antecubital","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","004AcLUSw_3",0.000764525993883797,0.999235474006116,"S004","Antecubital","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","004AcLUSw_4",0.000572382542332453,0.999427617457668,"S004","Antecubital","Omni","Type 4"
"remove_count_le_2","Remove count <=2","004AcRUSw_1",0.000529661016949152,0.999470338983051,"S004","Antecubital","Copan","Type 1"
"remove_count_le_2","Remove count <=2","004AcRUSw_2",0.000116137274258177,0.999883862725742,"S004","Antecubital","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","004FhCUSw",9.24855491329326e-05,0.999907514450867,"S004","Forehead","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","004FhLUSw_3",0.00123445066945211,0.998765549330548,"S004","Forehead","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","004FhLUSw_4",0.000233145521663112,0.999766854478337,"S004","Forehead","Omni","Type 4"
"remove_count_le_2","Remove count <=2","004FhRUSw_1",0.000831632267331972,0.999168367732668,"S004","Forehead","Copan","Type 1"
"remove_count_le_2","Remove count <=2","004FhRUSw_2",0.000276625172890717,0.999723374827109,"S004","Forehead","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","005AcCUSw",0.000189071658158438,0.999810928341842,"S005","Antecubital","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","005AcLUSw_3",0.000406338886631456,0.999593661113369,"S005","Antecubital","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","005AcLUSw_4",0.000237793278376663,0.999762206721623,"S005","Antecubital","Omni","Type 4"
"remove_count_le_2","Remove count <=2","005AcRUSw_1",0,1,"S005","Antecubital","Copan","Type 1"
"remove_count_le_2","Remove count <=2","005AcRUSw_2",0,1,"S005","Antecubital","Puritan_gel","Type 2"
"remove_count_le_2","Remove count <=2","005FhCUSw",9.55337950800085e-05,0.99990446620492,"S005","Forehead","Eswab","Type 5"
"remove_count_le_2","Remove count <=2","005FhLUSw_3",0.000151946818613483,0.999848053181386,"S005","Forehead","Puritan_buffer","Type 3"
"remove_count_le_2","Remove count <=2","005FhLUSw_4",0,1,"S005","Forehead","Omni","Type 4"
"remove_count_le_2","Remove count <=2","005FhRUSw_1",0,1,"S005","Forehead","Copan","Type 1"
"remove_count_le_2","Remove count <=2","005FhRUSw_2",0.000193523416333426,0.999806476583667,"S005","Forehead","Puritan_gel","Type 2"
"remove_count_le_10","Remove count <=10","001AcCUSw",0.0047143019425196,0.99528569805748,"S001","Antecubital","Eswab","Type 5"
"remove_count_le_10","Remove count <=10","001AcLUSw_3",0.00366809314733506,0.996331906852665,"S001","Antecubital","Puritan_buffer","Type 3"
"remove_count_le_10","Remove count <=10","001AcLUSw_4",0.00274753230894473,0.997252467691055,"S001","Antecubital","Omni","Type 4"
"remove_count_le_10","Remove count <=10","001AcRUSw_1",0.00121898127993035,0.99878101872007,"S001","Antecubital","Copan","Type 1"
"remove_count_le_10","Remove count <=10","001AcRUSw_2",0.00481560499847608,0.995184395001524,"S001","Antecubital","Puritan_gel","Type 2"
"remove_count_le_10","Remove count <=10","001FhCUSw",0.000141296156744546,0.999858703843255,"S001","Forehead","Eswab","Type 5"
"remove_count_le_10","Remove count <=10","001FhLUSw_3",0.00081816322356311,0.999181836776437,"S001","Forehead","Puritan_buffer","Type 3"
"remove_count_le_10","Remove count <=10","001FhLUSw_4",0.000663305916688768,0.999336694083311,"S001","Forehead","Omni","Type 4"
"remove_count_le_10","Remove count <=10","001FhRUSw_1",6.30775538524348e-05,0.999936922446148,"S001","Forehead","Copan","Type 1"
"remove_count_le_10","Remove count <=10","001FhRUSw_2",0.000519287833827898,0.999480712166172,"S001","Forehead","Puritan_gel","Type 2"
