"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"003FhCUSw",21,1.31316657876751,"S003","Forehead","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"003FhLUSw_3",8,0.187876743682947,"S003","Forehead","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"003FhLUSw_4",20,0.802254592529265,"S003","Forehead","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"003FhRUSw_1",16,0.562071879897833,"S003","Forehead","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"003FhRUSw_2",4,0.0644264306739691,"S003","Forehead","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
"004AcCUSw",115,3.49490217422126,"S004","Antecubital","Eswab","Type 5","prevalence_ge_2","Prevalence >=2 samples"
"004AcLUSw_3",176,3.76583553127364,"S004","Antecubital","Puritan_buffer","Type 3","prevalence_ge_2","Prevalence >=2 samples"
"004AcLUSw_4",187,4.27194621296853,"S004","Antecubital","Omni","Type 4","prevalence_ge_2","Prevalence >=2 samples"
"004AcRUSw_1",153,4.13340932058241,"S004","Antecubital","Copan","Type 1","prevalence_ge_2","Prevalence >=2 samples"
"004AcRUSw_2",142,3.95486930674586,"S004","Antecubital","Puritan_gel","Type 2","prevalence_ge_2","Prevalence >=2 samples"
